,0,1
0,afa1fd74-bb17-4367-b2ae-8a4739d4dc4c,6
1,9930c50e-4344-4d09-b61f-a097a5eb7c48,7
2,0c82621c-ecf6-4cea-8a3b-617d48a599e6,7
3,2b06b386-78ac-4289-905d-dd8c6d8bc56b,8
4,93626015-6504-481f-9f80-8b30741c4adc,6
5,6fc55095-7941-49e2-8e42-58c75d575781,4
6,e8acb6f6-8a5c-4c28-bb80-323ac08ca677,6
7,1edb597f-0880-4a28-81a0-59c93c3b352c,7
8,b3dce590-4df2-4aab-9d17-e6e03a8d31b6,4
9,a34233fa-e919-4518-a8e9-9fee4f235193,6
10,eda4b9e2-0e28-4f9a-aa8d-4c76acdd5744,6
11,5b3f29c8-79a5-470a-af13-efeed658e322,6
12,5a2aa1fb-f5f9-42e5-90b5-7e0232aac26c,6
13,4f9bb1b1-819d-4a5e-9221-b286c61619fd,5
14,67539958-ef27-4345-bdac-0bc99d7243d5,4
15,199233f6-8826-45a0-9e57-252a29b109d7,6
16,da69e221-6113-4266-a70e-292fd9e3caa2,5
17,5ad85c87-7575-47f6-b03b-2b2c7f571de9,8
18,891b9843-5674-4c6b-9a75-6dcacfa76a73,5
19,f0faa28e-8af9-4977-b24e-66cff55befbd,6
20,f3eda77c-950b-4478-a4b0-053b8b2b79f1,4
21,6b4b0d42-a6b3-4ab8-94fa-0112b9b9a6f2,6
22,35388a33-ada3-4e19-9a74-a712f58448bd,5
23,e289239b-e814-40a0-b81f-f060dfce8347,5
24,64d6f928-2894-493b-989b-d4ddbb17339a,5
25,8d23897f-0ced-46f8-96ad-9c23fe2ae088,6
26,b6519e0f-edd6-4f52-93a9-7e892b36c9fa,6
27,5afa5fec-92cf-43da-9ecc-ad976bf65c26,3
28,2362d0d0-a2ee-4753-a92f-509cb079f1f2,3
29,9a4dc6ed-a5a8-48a8-b846-6d89dec2066d,8
30,a8147f39-c82d-4dcf-b1ec-224c773cba44,4
31,921f9f95-5240-46a0-8ced-3a3d50404992,6
32,ecb07bad-9f88-4921-b8cd-bf68beb76dcf,7
33,24673adc-1711-474a-9ef6-1ec4bded39b7,6
34,f891bf8c-c9df-4c3d-addf-7fa1495645e6,7
35,d581bc65-ce6e-4767-bb2a-9c249a6eb894,5
36,4a66e901-b0da-4af5-9d33-181665918c9f,4
37,a097f9f9-b919-4c01-9ad7-65de0f0e3c9e,7
38,a3072829-0bcc-4361-978a-a5c21a9d64f4,6
39,b9904bf5-a286-401f-8a96-61484dc442f6,5
40,2217f9de-0421-4edf-9aae-6425e9aa3573,5
41,bcf32c8c-31d4-4f8b-8de0-40fe28920375,6
42,cb470cd2-9036-47d5-acd3-7958dc87beb7,5
43,fc66e3f5-1416-4ae5-b746-ebd56a4e552c,6
44,e12c2ed5-3190-4358-9139-0be1b1b10537,7
45,7059a063-bb61-4aa5-bb3f-bbd72f5b89a8,6
46,49df7ba0-2081-40f7-bde6-ba97b15dee69,5
47,b7d179ad-eaf1-4ffa-af89-aa6669dc72a0,5
48,87991abb-54fb-4201-a890-567ed17af9f9,6
49,1a81e132-ddf7-4869-bbdf-c06b39831173,5
50,4ffd6b54-4222-49dc-975d-98fea2c5131a,6
