,0,1,2
0,eacda612-5cec-43fc-b887-187a5187a15f,9.45960051209383e-28,4.608618286168252e-21
1,ebdbde4b-7a85-4b81-8c9d-e323f2173f63,2.0513148412493352e-18,5.0427881259647465e-18
2,f050d59b-0a8b-44d5-8031-59a62f3eff18,1.0765038035776653e-54,1.5935704640714168e-47
3,acad7a61-bf4a-4d25-984a-24fd85e81c63,2.3082170410303627e-24,3.920392023815048e-24
4,991f4a29-cf05-4a3d-8fc9-0b9e89465730,1.0983850088448436e-24,1.0983850088448436e-24
5,c8b31e47-186a-4330-8169-7fbd0e47e008,5.641879903054077e-23,2.5562145127953103e-21
6,5e47ee38-2c68-461b-8eb4-40b3f4ce8980,4.0334369666581405e-22,3.439898623631925e-17
7,2c8a6a04-603b-4352-95c8-e64d4988333d,3.0912598145548898e-18,3.0912598145548898e-18
8,6d797379-7b2a-4782-9485-cedfe5682d96,6.985374875892401e-21,2.711824586311375e-19
9,9c578c8a-e534-4741-a8af-b957124a1d20,5.491062899028651e-21,4.9949758770074036e-17
10,eed3df61-3c97-4d88-a83c-f4394cc0f640,2.503610550453981e-19,1.8045213636963694e-18
11,3d01757b-d905-40e6-a618-e7bc8382c87d,1.721447518621907e-82,1.8623329307710365e-39
12,1189ddf4-4157-4697-ac14-fa3f2d99892f,1.328051718770128e-45,1.328051718770128e-45
13,028abf1c-169d-48e3-bc70-408a10831bc2,3.3098014010866343e-19,2.346788488308836e-18
14,c5b2e78c-2ba5-4a8b-aff0-e45ef8941ff8,1.6876204097602855e-18,2.0619973004772704e-18
15,18da500c-095a-49b5-bec0-d0c73bc51c96,6.74942089110162e-19,3.4469998486252134e-18
16,8e22577c-bfc2-4da1-b44d-4caf981fec63,1.314333466937852e-29,1.7278516082615881e-22
17,01a64aea-4159-48c0-8b9d-c03d9b25df76,3.721685826483279e-18,8.12545354222578e-18
18,48989dce-f04b-4696-ad6a-138cc9bda226,1.5577719135653436e-16,1.5577719135653436e-16
19,4abccfca-3e7b-455f-8a0d-a02983d32c2f,1.43571172844175e-21,5.294864659777935e-18
20,1edf53f6-478d-43a4-bcb6-fb0e37a445f9,9.673512275764373e-20,2.077897725752487e-18
21,15489ad8-5b33-420c-b68f-a826ae77fd9e,5.377436609135554e-19,2.422008503256109e-17
22,84ba149a-675b-425a-83d7-88856aefca41,2.2986497874824483e-21,1.556672111541758e-20
23,64f49b98-8c3c-4133-8829-50930438f800,3.940047809205133e-21,1.4047949510720492e-18
24,80c3c389-77b5-4393-9c37-302c33d6fbf1,1.9318682356227784e-26,1.3320349416247646e-25
25,3d0977bc-7b67-4d06-8b93-523aad77041e,2.1733706130587635e-19,1.1000824906212349e-16
26,be6b25d0-d925-463b-8124-f2ee3540fc2b,1.3742592374214844e-19,1.4201769283486076e-19
27,12321719-300d-4724-8f96-658ab2fc8b69,9.201071470025502e-17,1.2342468859996262e-14
28,3ee378e4-6eba-4498-9280-00d55aefeea9,4.8105396062413433e-20,4.8105396062413433e-20
29,a886e0e1-c816-40bc-a573-1aae6d36e554,9.983836478054443e-19,2.1255068823192763e-18
30,5d7517ea-8965-4489-85c4-6f1b23227436,5.444603620269225e-21,1.6281310456230962e-20
31,1f6ebef8-07fb-4bf3-9f11-3f388a478134,3.557322953653217e-18,6.772414849797803e-17
32,0ea2ecb7-eb90-4529-a523-96d63f760c6f,4.271210712426548e-25,7.846331303838967e-22
33,f3e44bdf-1637-4a92-8337-f4febc152021,2.4652404120778195e-18,5.0615308738747744e-18
34,f6203145-b07d-44eb-8743-1cea75614ea2,2.329407801038407e-28,3.262828549158122e-28
35,f32ba169-8c6e-473d-9a26-d58e91226eea,1.977381959258979e-19,4.7377542141954585e-19
36,6350f4d1-0de0-4fee-bbb1-8e278d4e04b6,1.298539027716905e-19,2.097943025263447e-18
37,bcbe8199-787a-4d7e-855e-49e178275c3a,5.477638711904314e-31,9.23816262130092e-22
38,d6b5dd0c-0f8e-44d9-aad8-f0602040daa4,5.1066160196345025e-20,5.1066160196345025e-20
39,01c440eb-cafd-47a8-b5b5-7dc2374357dc,6.87614041527801e-21,4.2063595194762903e-20
40,45388d60-ea0c-4453-81b9-06da59af0e0c,4.71433874544399e-20,5.295733943465524e-19
41,260298ab-7341-40ef-bda4-6ba181af275f,4.000002603061491e-18,2.154467235397203e-17
42,95f0c7a0-0ebe-42ae-8839-48c6ca686699,1.5894251844623065e-17,3.9901145097495515e-16
43,e5a2c454-048a-4ab0-ac3e-201fbf2432a7,3.055197239025003e-24,1.7034141639377154e-20
44,3ee02e34-775a-43c4-b1c7-4ed1696b5284,1.3068651169963821e-19,1.812576424888262e-19
45,e39d4dca-565e-4084-969a-2b73449428e5,3.380372619771914e-30,3.60499390165636e-28
46,5fb57057-ca77-40b7-9a38-6d4d3ce7e2ae,3.7872543152090085e-22,8.78075631394301e-21
47,b18e5d73-9826-4fb1-8e18-a79b815c905e,1.6457625177962765e-19,1.4898098921305512e-17
48,b25e268f-e53e-434b-a009-8aaafd361a88,1.4793040793679938e-16,9.042510181019704e-16
49,704c3b81-fc0b-40bb-b4c1-fa229fed6beb,2.6267072568245683e-31,4.857427721209918e-27
50,d89193dd-c804-438e-b4de-fd1419a4baa5,2.3238385594696668e-20,1.5017405580079083e-19
